,window,window,window,window,window,whole,whole,whole,whole,whole
,mae,mse,rmse,mape,mspe,mae,mse,rmse,mape,mspe
pred_len,,,,,,,,,,
64,0.18683583,0.06133699,0.24766305,inf,inf,0.14178655,0.037490975,0.19362587,inf,inf
64,0.18271087,0.05739229,0.23956688,inf,inf,0.14273255,0.037247956,0.19299729,inf,inf
64,0.17519768,0.052872,0.22993912,inf,inf,0.14005157,0.035436627,0.18824619,inf,inf
64,0.18898308,0.061097737,0.24717957,inf,inf,0.14418434,0.03891949,0.19728023,inf,inf
64,0.18123189,0.05641658,0.23752174,inf,inf,0.14075527,0.036436416,0.19088325,inf,inf
64,0.18386383,0.057752587,0.24031767,inf,inf,0.13951857,0.036716692,0.191616,inf,inf
64,0.18787856,0.060839538,0.24665672,inf,inf,0.1418489,0.03845962,0.19611125,inf,inf
64,0.17974862,0.05432848,0.23308471,inf,inf,0.1450418,0.036304552,0.19053753,inf,inf
64,0.19229744,0.06339852,0.2517906,inf,inf,0.14748079,0.0391852,0.19795252,inf,inf
64,0.18238206,0.056784272,0.23829451,inf,inf,0.13694623,0.035452254,0.18828769,inf,inf
mean,0.184113,0.0582219,0.24120145,inf,inf,0.14203465,0.03716498,0.19275378,inf,inf
